name,id,lat,lon,capacity
"Prince Albert Road, The Regent's Park",329,51.53589283,-0.160854428,2
"Eastbourne Mews, Paddington",330,51.51641749,-0.179135079,2
"Bunhill Row, Moorgate",331,51.52085887,-0.089887855,1
"Nevern Place, Earl's Court",332,51.49334336,-0.194757949,0
"Palace Gardens Terrace, Notting Hill",333,51.50860544,-0.193764092,2
"Concert Hall Approach 1, South Bank",334,51.505044,-0.115851,0
"Tavistock Street, Covent Garden",335,51.51196803,-0.120718759,0
"Concert Hall Approach 2, South Bank",336,51.504942,-0.115533,0
"Pembridge Villas, Notting Hill",337,51.51108452,-0.197524944,0
"Risinghill Street, Angel",339,51.5333196,-0.1117812,1
"Bank of England Museum, Bank",340,51.51444134,-0.087587447,0
"Craven Street, Strand",341,51.50810309,-0.12602103,0
"London Zoo Car Park, The Regent's Park",343,51.53692216,-0.150181444,0
"Goswell Road (City Uni), Finsbury",344,51.528246,-0.10102611,1
"Flood Street, Chelsea",345,51.48802358,-0.166878535,0
"Lower Marsh, Waterloo",347,51.50013942,-0.113936001,0
"Grosvenor Square, Mayfair",348,51.51217033,-0.150481272,0
"St. George Street, Mayfair",349,51.51196,-0.142783033,0
"Queen's Gate, Kensington Gardens",350,51.5017154373867,-0.1798541843891,0
"Macclesfield Rd, St Lukes",351,51.529423,-0.097122,3
"Vauxhall Street, Vauxhall",352,51.486965,-0.116625,0
"Greycoat Street , Westminster",353,51.49459148,-0.134234258,0
"Northumberland Avenue, Strand",354,51.506767,-0.123702,0
"Clapham Common Station, Clapham Common",355,51.461388,-0.13922146,1
"South Kensington Station, South Kensington",356,51.494412,-0.173881,0
"Howland Street, Fitzrovia",357,51.520994,-0.139016,0
"High Holborn , Covent Garden",358,51.516226,-0.124826,0
"Butler Place, Westminster",359,51.49782999,-0.135440826,0
"Howick Place, Westminster",360,51.49675303,-0.138733562,0
"Waterloo Station 2, Waterloo",361,51.50391973,-0.11342629,10
"Royal College Street, Camden Town",362,51.536264,-0.133952,0
"Lord's, St. John's Wood",363,51.5291212008901,-0.171185284853,0
"Store Street, Bloomsbury",364,51.519572,-0.13214036,0
"City Road, Angel",365,51.530344,-0.100168,2
"Millennium Hotel, Mayfair",366,51.5109192966489,-0.1511263847351,1
"Harrowby Street, Marylebone",367,51.5173721,-0.1642075,0
"Harriet Street, Knightsbridge",368,51.50024195,-0.15934065,0
"Paddington Green, Paddington",370,51.520205,-0.174593,0
"King Edward Walk, Waterloo",371,51.49775,-0.10988,0
"Sardinia Street, Holborn",372,51.515208,-0.117863,0
"Prince Consort Road, Knightsbridge",373,51.49980661,-0.176415994,1
"Waterloo Station 1, Waterloo",374,51.50402794,-0.11386436,2
"Kensington Town Hall, Kensington",375,51.50194596,-0.194392952,0
"Millbank Tower, Pimlico",376,51.49188409,-0.125674815,0
"Waterloo Bridge, South Bank",377,51.50535447,-0.113656543,0
"Natural History Museum, South Kensington",378,51.49559291,-0.179077626,0
"Turquoise Island, Notting Hill",379,51.51431171,-0.200838199,1
"Stanhope Gate, Mayfair",380,51.50686435,-0.150666888,0
"Charlotte Street, Fitzrovia",381,51.51953043,-0.13577731,1
"Farm Street, Mayfair",382,51.50935171,-0.14744969,0
"Frith Street, Soho",383,51.51310333,-0.13121385,0
"Marloes Road, Kensington",384,51.496481,-0.192404,2
"Moor Street, Soho",386,51.51352755,-0.130110822,0
"Fire Brigade Pier, Vauxhall",387,51.49369988,-0.121394101,0
"Southampton Street, Strand",388,51.51070161,-0.121723604,1
"Upper Grosvenor Street, Mayfair",389,51.51013066,-0.155757901,0
"Buxton Street 1, Shoreditch",390,51.521776,-0.068856,0
"Clifford Street, Mayfair",391,51.51066202,-0.142345694,0
"Imperial College, Knightsbridge",392,51.49942855,-0.179702476,0
"Snow Hill, Farringdon",393,51.51733427,-0.103604248,0
"Aberdeen Place, St. John's Wood",394,51.524826,-0.176268,0
"Cadogan Gardens, Chelsea",395,51.492462,-0.159919,0
"Shouldham Street, Marylebone",396,51.51809,-0.163609,0
"Devonshire Terrace, Bayswater",397,51.51348,-0.17977,0
"Holland Park, Kensington",398,51.502319,-0.200742,0
"Brick Lane Market, Shoreditch",399,51.52261762,-0.071653961,1
"George Street, Marylebone",400,51.517703,-0.154106,0
"Columbia Road, Shoreditch",401,51.528187,-0.075375,0
"Penfold Street, Marylebone",402,51.52289229,-0.171681991,0
"George Place Mews, Marylebone",403,51.51689296,-0.158249929,0
"Palace Gate, Kensington Gardens",404,51.50204238,-0.184400221,0
"Gloucester Road Station, South Kensington",405,51.49418566,-0.18267094,0
"Sun Street, Liverpool Street",408,51.520009,-0.083935724,1
"Strata, Elephant & Castle",409,51.493146,-0.099828,2
"Edgware Road Station, Marylebone",410,51.519968,-0.169774,2
"Rotherhithe Roundabout, Rotherhithe",411,51.499169,-0.055846029,0
"Cleaver Street, Kennington",412,51.488105,-0.110121,0
"Chelsea Bridge, Pimlico",419,51.485821,-0.149004,0
"Southwark Station 1, Southwark",420,51.504043,-0.105312,0
"Southwark Station 2, Southwark",421,51.504044,-0.104778,0
"Eaton Square (South), Belgravia",423,51.49456127,-0.15393398,0
"Ebury Bridge, Pimlico",424,51.490491,-0.149186,1
"Vincent Street, Pimlico",426,51.493072,-0.129925,1
"Cheapside, Bank",427,51.51397065,-0.09294031,0
"Exhibition Road, Knightsbridge",428,51.499917,-0.174554,1
"South Parade, Chelsea",430,51.48902,-0.17524,0
"Crinan Street, King's Cross",431,51.534474,-0.122203,0
"Exhibition Road Museums 1, South Kensington",432,51.496468,-0.17379696,0
"Wren Street, Holborn",433,51.524564,-0.116279,0
"Kennington Station, Kennington",435,51.488852,-0.105593,0
"Red Lion Street, Holborn",436,51.51824,-0.11655,0
"Vauxhall Walk, Vauxhall",437,51.488124,-0.120903,1
"Killick Street, King's Cross",439,51.5338,-0.118677,1
"Kennington Oval, Oval",440,51.483145,-0.113134,0
"Sail Street, Vauxhall",441,51.495656,-0.114605,0
"Walmer Road, Avondale",442,51.510101,-0.211358,0
"Philpot Street, Whitechapel",443,51.515256,-0.058641,0
"Bethnal Green Garden, Bethnal Green",444,51.52568,-0.055312,1
"Cheshire Street, Bethnal Green",445,51.52388,-0.065076,0
"York Hall, Bethnal Green",446,51.528936,-0.055894,1
"Jubilee Crescent, Cubitt Town",447,51.493381,-0.007542,1
"Fisherman's Walk West, Canary Wharf",448,51.50623,-0.02296,1
"Shadwell Station, Shadwell",449,51.511088,-0.057159,0
"Jubilee Street, Stepney",450,51.515975,-0.053177,1
"Hermitage Court, Wapping",451,51.504719,-0.063531,0
"St. Katharine's Way, Tower",452,51.505697,-0.070542,0
"Garnet Street, Shadwell",453,51.508447,-0.055167,0
"Napier Avenue, Millwall",454,51.487679,-0.021582,0
"East Ferry Road, Cubitt Town",455,51.49447,-0.014409,0
"Parkway, Camden Town",456,51.538071,-0.144664,0
"Castlehaven Road, Camden Town",457,51.542138,-0.145393,1
"Wapping Lane, Wapping",458,51.504749,-0.057544,0
"Gunmakers Lane, Old Ford",459,51.535179,-0.03338,2
"Burdett Road, Mile End",460,51.516196,-0.029138,4
"Aston Street, Stepney",461,51.516,-0.038775,1
"Bonny Street, Camden Town",462,51.541603,-0.138853,3
"Thurtle Road, Haggerston",463,51.534776,-0.071881,0
"St. Mary & St. Michael Church, Stepney",464,51.51417,-0.052099,0
"Pitfield Street North,Hoxton",465,51.53558,-0.08249,0
"Whiston Road, Haggerston",466,51.534464,-0.076341,1
"Southern Grove, Bow",467,51.523538,-0.030556,1
"Cantrell Road, Bow",468,51.521564,-0.022694,0
"Lindfield Street, Poplar",469,51.513757,-0.020467,0
"Mostyn Grove, Bow",470,51.530535,-0.025492,0
"Hewison Street, Old Ford",471,51.533283,-0.028155,1
"Malmesbury Road, Bow",472,51.529452,-0.027616,1
"Millharbour, Millwall",473,51.496137,-0.019355,0
"Gascoyne Road, Victoria Park",474,51.541515,-0.038557746,0
